src_subject_id,FA_cingulatecingulum_R,FA_CinguluteCingulum_L,FA_corpuscallosum,FA_Corticospinal_L,FA_Corticospinal_R,FA_forecepsmajor,FA_forecepsminor,FA_Fornix_L,FA_Fornix_R,FA_IFC_SupFrontal_L,FA_IFC_SupFrontal_R,FA_inferiorfrontooccipitalfasiculus_L,FA_inferiorfrontooccipitalfasiculus_R,FA_inferiorlongfascic_L,FA_inferiorlongfascic_R,FA_ParahippocampalCingulum_L,FA_ParahippocampalCingulum_R,FA_parietalSLF_L,FA_parietalSLF_R,FA_temporalSLF_L,FA_temporalSLF_R,FA_striatal_IFC_L,FA_striatal_IFC_R,FA_superiorcorticalstriate_Frontal_L,FA_superiorcorticalstriate_Frontal_R,FA_superiorcorticalstriate_Parietal_L,FA_superiorcorticalstriate_Parietal_R,FA_ThalamicRadiations_R,FA_thalamicradiations_L,FA_uncinate_L,FA_uncinate_R
NDAR_INVV81U1DVC,0.50129444,0.47940767,0.59447442,0.61306739,0.59180439,0.67524241,0.52782899,0.39989773,0.41174833,0.46098161,0.42124216,0.5041187,0.48468866,0.50032104,0.4976251,0.33393371,0.32849662,0.4884668,0.50186838,0.5336996,0.51592347,0.3834324,0.3647556,0.45911796,0.44641654,0.49126346,0.47969256,0.40854546,0.40812213,0.44577725,0.4285455
NDAR_INVV85CH77G,0.36795345,0.37719699,0.51750703,0.52401525,0.51500149,0.55486214,0.45285037,0.3221251,0.29041795,0.38415837,0.38021976,0.41597483,0.42791218,0.39719806,0.4160397,0.26701196,0.24750553,0.43292495,0.43621293,0.45712254,0.44658929,0.36241201,0.34988915,0.37488565,0.38277391,0.39444662,0.40397408,0.3503696,0.35275006,0.420279,0.37324721
NDAR_INVV8URWFJ6,0.4153536,0.49471554,0.55337117,0.58623066,0.58566082,0.58871964,0.47749661,0.38068338,0.40197536,0.43203317,0.45648677,0.48684153,0.46562849,0.48641544,0.50942813,0.31210691,0.31940424,0.46482427,0.47134941,0.47800943,0.46218079,0.3862033,0.36917378,0.45704893,0.48730181,0.4884913,0.5454047,0.39284315,0.41963473,0.41285977,0.39392162
NDAR_INVV8Y5PNGN,0.41802942,0.47761132,0.59108306,0.61419749,0.60677278,0.64859254,0.53079757,0.37897641,0.39056999,0.46435088,0.44347502,0.52489568,0.50089844,0.4915428,0.47039356,0.38365398,0.39404401,0.49885404,0.50035691,0.53193087,0.51105622,0.40265316,0.36522737,0.43599176,0.44225362,0.49339154,0.48605012,0.41427985,0.40780465,0.47158014,0.44763877
NDAR_INVV96LUWY8,0.50944582,0.57953851,0.58299844,0.58416637,0.58352326,0.64274943,0.52782748,0.39022535,0.41370136,0.44642065,0.45540079,0.51407244,0.51364242,0.47982612,0.4873253,0.39700585,0.38709986,0.47963456,0.4990292,0.50351109,0.50217016,0.41489947,0.40105743,0.41257021,0.43956782,0.44146088,0.48979841,0.37448134,0.40917752,0.47728004,0.4619895
NDAR_INVV9B0R8UM,0.43151046,0.55160887,0.59058148,0.57327999,0.58307864,0.64739122,0.54831951,0.35201374,0.35283221,0.46389676,0.43755513,0.5568651,0.52645201,0.47184113,0.49421568,0.34596642,0.40895138,0.47673935,0.48731733,0.50151726,0.5021461,0.45937417,0.43801169,0.45019117,0.45229296,0.47607294,0.46225939,0.38623481,0.38587127,0.46600037,0.45429212
NDAR_INVV9BM1RB5,0.46304154,0.51968579,0.57948669,0.62980839,0.62466502,0.60254888,0.552283,0.41095322,0.40419187,0.45274538,0.42131063,0.53453412,0.51988262,0.52574609,0.53594678,0.41863997,0.36611876,0.47395556,0.49139078,0.51786667,0.50225263,0.41956883,0.39938568,0.45355382,0.4653348,0.51051677,0.51447501,0.43090363,0.44699449,0.47743033,0.45189503
NDAR_INVV9D0WWZM,0.53918886,0.55167385,0.61534778,0.63420131,0.60332661,0.63984358,0.57893954,0.39992674,0.40367668,0.49244528,0.47838154,0.52194805,0.51865084,0.52441308,0.50886931,0.40306841,0.41215814,0.52969454,0.50691669,0.55125277,0.52992827,0.42602427,0.38984699,0.4762472,0.45798844,0.52133114,0.50798732,0.42968135,0.44202503,0.50779182,0.4701656
NDAR_INVV9Z7KCBE,0.53524548,0.57528016,0.62200762,0.63696252,0.61980775,0.6595636,0.59149971,0.40150367,0.40175099,0.49641406,0.49772774,0.58652648,0.56313255,0.52171528,0.51278798,0.42285382,0.43898205,0.55207679,0.53497217,0.56618819,0.53377081,0.46455789,0.45464359,0.48921057,0.49393879,0.51339847,0.52184988,0.42195879,0.42116617,0.47252225,0.48104076
NDAR_INVVAWB3BNR,0.52643519,0.4726549,0.57733513,0.60526505,0.63389082,0.6190633,0.52461786,0.39375226,0.41827453,0.47226898,0.46861823,0.51244032,0.52038646,0.49739309,0.50817888,0.34062331,0.32569599,0.48182164,0.51221827,0.51486381,0.51437372,0.42261434,0.43616037,0.4929769,0.51772725,0.51899178,0.54788219,0.35656764,0.33105199,0.48055962,0.47430705
