src_subject_id,yr2_FA_left anterior thalamic radiations_sexsite,yr2_FA_right anterior thalamic radiations_sexsite,yr2_FA_corpus callosum_sexsite,yr2_FA_left cingulate cingulum_sexsite,yr2_FA_right cingulate cingulum_sexsite,yr2_FA_left parahippocampal cingulum_sexsite,yr2_FA_right parahippocampal cingulum_sexsite,yr2_FA_left corticospinal/pyramidal_sexsite,yr2_FA_right corticospinal/pyramidal_sexsite,yr2_FA_foreceps major_sexsite,yr2_FA_foreceps minor_sexsite,yr2_FA_left superior corticostriate-frontal cortex only_sexsite,yr2_FA_right superior corticostriate-frontal cortex only_sexsite,"yr2_FA_left fornix, excluding fimbria_sexsite","yr2_FA_right fornix, excluding fimbria_sexsite",yr2_FA_left fornix_sexsite,yr2_FA_right fornix_sexsite,yr2_FA_left inferior-fronto-occipital fasiculus_sexsite,yr2_FA_right inferior-fronto-occipital fasiculus_sexsite,yr2_FA_left inferior frontal superior frontal cortex_sexsite,yr2_FA_right inferior frontal superior frontal cortex_sexsite,yr2_FA_left inferior longitudinal fasiculus_sexsite,yr2_FA_right inferior longitudinal fasiculus_sexsite,yr2_FA_left superior corticostriate-parietal cortex only_sexsite,yr2_FA_right superior corticostriate-parietal cortex only_sexsite,yr2_FA_left parietal superior longitudinal fasiculus_sexsite,yr2_FA_right parietal superior longitudinal fasiculus_sexsite,yr2_FA_left superior corticostriate_sexsite,yr2_FA_right superior corticostriate_sexsite,yr2_FA_left striatal inferior frontal cortex_sexsite,yr2_FA_right striatal inferior frontal cortex_sexsite,yr2_FA_left superior longitudinal fasiculus_sexsite,yr2_FA_right superior longitudinal fasiculus_sexsite,yr2_FA_left temporal superior longitudinal fasiculus_sexsite,yr2_FA_right temporal superior longitudinal fasiculus_sexsite,yr2_FA_left uncinate_sexsite,yr2_FA_right uncinate_sexsite
NDAR_INVLKWJTNDZ,0.438497530479091,0.432460721476948,0.613936641547495,0.499589994860517,0.454001547491088,0.383444797964274,0.403427666101903,0.619110340474881,0.637419811878392,0.668492544444259,0.564491311439851,0.473245635288159,0.497301814912617,0.366067856113718,0.345428696328336,0.403623022967569,0.406273001720738,0.532450558807056,0.509828463676756,0.485033313301283,0.465232409659157,0.52305834910247,0.51118275129282,0.548466039762382,0.563735154623749,0.525244100172915,0.515958275179058,0.497170327771324,0.536846677918414,0.430991544643987,0.399208675909347,0.546823268399478,0.52578347063258,0.559072934209364,0.541265597742109,0.482226750749491,0.444504174515405
NDAR_INVLL8XP3FZ,0.410614224304698,0.386761892050007,0.542086503640387,0.452321218819972,0.392085191808458,0.338425950444753,0.332028466589277,0.576596736172327,0.581171427078342,0.58840511826815,0.492490458371598,0.371182648563288,0.409258977071686,0.346314951497396,0.33823678764726,0.372052518276174,0.361096902288387,0.495724172324766,0.495760968482966,0.410259865791651,0.403602107648917,0.488391263884658,0.487607586079191,0.391983900830423,0.442813348571041,0.4236918380873,0.419012828435499,0.373540486669325,0.422274445583976,0.38308574313209,0.374974780804066,0.445992312481131,0.42247293905146,0.460351735517169,0.432936493473341,0.446149602601097,0.408774274526998
NDAR_INVLLC8XX9N,0.410252346570413,0.391363236217569,0.572767419014128,0.446283872710686,0.433054662200861,0.36213666904223,0.345994053094006,0.601871272392447,0.584391610850208,0.640088869949486,0.496855765675446,0.450439566645441,0.436142271237767,0.325520733812999,0.311535820762232,0.366958325400922,0.374104357643177,0.492362836609304,0.489144489073258,0.475782344485403,0.46059606845729,0.455162900511518,0.494372019211708,0.472461577624966,0.479927674568498,0.450247568863384,0.45883462208651,0.452307085483561,0.457588534029377,0.395175361948972,0.383418164226153,0.4658348589391,0.460391733213892,0.473259013825759,0.463039667836194,0.458635627509469,0.444979103841495
NDAR_INVLLUH8L20,0.40648680435331,0.3735681243675,0.565465132744068,0.4941595954184,0.468321257971483,0.356733059304852,0.381585170995809,0.582393887563949,0.580647629095153,0.635906809087783,0.504310205443735,0.431139034449214,0.416453369355899,0.326475301490186,0.317680076115388,0.373244130206691,0.373278176088205,0.495388463447324,0.494977304420888,0.465600319305455,0.427774283316774,0.4781905979452,0.501905167439269,0.452505631235991,0.461248099843313,0.461888824677182,0.488025852827462,0.429565609422642,0.443306166724285,0.397234179647215,0.358304951732028,0.48281934452467,0.491272993267312,0.491292906263601,0.492847062771746,0.443150233987409,0.422977517299196
NDAR_INVLM20BZVZ,0.420588032043354,0.388964206300724,0.593177806944978,0.463493315880015,0.377102380336519,0.34411401660629,0.325680911276003,0.593271389145625,0.623656874640966,0.648177392157247,0.5414753040764,0.424972916271251,0.482398526935952,0.312787416390344,0.316887118950489,0.351187897368505,0.368789022293716,0.482693295513956,0.473707934671894,0.43713372910595,0.469698543764833,0.48554344178156,0.475612229878592,0.443503179914174,0.524016423562732,0.461580209583372,0.469238158697911,0.427064088108842,0.503642572246293,0.408519822976074,0.369188154235431,0.482776645085457,0.478220580584625,0.493305180868888,0.494253481605596,0.445468080891221,0.42742526289541
NDAR_INVLM6JRR6C,0.393116979345577,0.360677474625913,0.551376296127891,0.413622069998455,0.387152433827559,0.291323189546842,0.256301339141201,0.555426167453339,0.534886208139517,0.614814372006386,0.518017045669424,0.427584761752528,0.401500566991341,0.339891561975371,0.273431289013815,0.338616625150843,0.30932774064221,0.468771700389344,0.430790604469225,0.41870034979324,0.390562182501023,0.463777908774834,0.425408461261424,0.462157569797532,0.427875395024815,0.422923747993799,0.413189693181992,0.435612550749496,0.408606663259156,0.380752117333433,0.360737944884848,0.46274754035321,0.428256693424249,0.481703642173646,0.456750392993049,0.468260287606915,0.407728077454262
NDAR_INVLMME1BK2,0.421470549292575,0.392322720733297,0.586022033404124,0.543303139112268,0.463436700706679,0.362083088740163,0.394009472450953,0.617019331918848,0.624304298551498,0.589906923964863,0.550577927133096,0.476802742190662,0.499933094499825,0.310479769379719,0.326012584437529,0.365299653161128,0.347845350320564,0.464706793414477,0.452025742369375,0.459275302205097,0.448731064860026,0.490613930537744,0.483714566893117,0.480635097581547,0.524295994985502,0.485856721519095,0.488210351273237,0.467000895424464,0.509985107742815,0.41025718973987,0.394874154504709,0.517770175939471,0.495124863122,0.532421868428623,0.50852234721906,0.431489055914286,0.406512791450199
NDAR_INVLMRC8HMX,0.332721155044943,0.311807832496353,0.557568292011676,0.522155696209045,0.470323366207701,0.332239908142521,0.367061798435416,0.622589730989459,0.594836318937569,0.604397022487544,0.501734281423955,0.492026382255672,0.475544190732535,0.274753209585203,0.223558602991297,0.318017787048316,0.353558004335565,0.489966378267399,0.47544015741736,0.434972506229893,0.46701494677523,0.491241617317263,0.510910874504684,0.503010981122936,0.50069225320686,0.482179776086919,0.501516097070906,0.483554873236048,0.486623418224372,0.416665837983011,0.383495770420875,0.504985627492859,0.503123459224293,0.51638487622462,0.507149549502888,0.451958473745074,0.419292393375779
NDAR_INVLMY0XZB5,0.448246019659262,0.418807440813178,0.601623236709486,0.501675657164165,0.490686741598218,0.429598014105354,0.368447735676258,0.631721788533114,0.633658771519836,0.673545721412303,0.528312952851394,0.461467852003538,0.499625082294236,0.35484040591489,0.365186414833244,0.380618487599522,0.396941630889482,0.526175468548178,0.491004438362517,0.466436486056551,0.476959194526521,0.520727174986278,0.514083327825031,0.483839749306802,0.550165370430904,0.504419694998582,0.529345776687991,0.458975327480314,0.525824096253569,0.434146164919144,0.40378197744704,0.528792452453546,0.536506467520736,0.542343196126552,0.543090767481031,0.490189305019223,0.429047280317572
NDAR_INVLN9JCZ56,0.423122430608151,0.408058768371969,0.592575095594228,0.535844874921348,0.475504495047771,0.339546249756281,0.405532452121851,0.593652974988143,0.567846359452383,0.646789726472922,0.545282276997877,0.455460605676711,0.443886514289086,0.319790692497695,0.27614007774374,0.35403194917587,0.363870526227426,0.523254864165617,0.509954555019349,0.462680273784167,0.44890975067632,0.547080928704962,0.531283793279271,0.492791717698877,0.506936154138427,0.513090840765287,0.513263680302597,0.463107668506468,0.479185517214398,0.41617179789356,0.399357505062326,0.527904102184517,0.510158748946018,0.537672145166685,0.504002298568863,0.507234696046778,0.473778926651225
